GEOID,NAME,medincE,medincM
47073050900,"Census Tract 509, Hawkins County, Tennessee",35423,4144
47073050800,"Census Tract 508, Hawkins County, Tennessee",38438,7429
47073050100,"Census Tract 501, Hawkins County, Tennessee",40693,7826
47073050700,"Census Tract 507, Hawkins County, Tennessee",42500,14242
47091956300,"Census Tract 9563, Johnson County, Tennessee",31131,4757
47091956200,"Census Tract 9562, Johnson County, Tennessee",54028,16348
47091956000,"Census Tract 9560, Johnson County, Tennessee",35598,7558
47091956100,"Census Tract 9561, Johnson County, Tennessee",39858,4774
47165020208,"Census Tract 202.08, Sumner County, Tennessee",52266,11368
47165020209,"Census Tract 202.09, Sumner County, Tennessee",63611,9566
47157022130,"Census Tract 221.30, Shelby County, Tennessee",51755,6996
47157022321,"Census Tract 223.21, Shelby County, Tennessee",32061,7013
47157002500,"Census Tract 25, Shelby County, Tennessee",38092,8423
47157003000,"Census Tract 30, Shelby County, Tennessee",28714,13118
47157003300,"Census Tract 33, Shelby County, Tennessee",92500,19542
47157005900,"Census Tract 59, Shelby County, Tennessee",23942,10403
47131965200,"Census Tract 9652, Obion County, Tennessee",44629,9438
47131965700,"Census Tract 9657, Obion County, Tennessee",34608,4230
47131965000,"Census Tract 9650, Obion County, Tennessee",46182,4502
47131965400,"Census Tract 9654, Obion County, Tennessee",41524,3389
47131965900,"Census Tract 9659, Obion County, Tennessee",39583,10249
47131965100,"Census Tract 9651, Obion County, Tennessee",51076,6909
47131965500,"Census Tract 9655, Obion County, Tennessee",29747,5536
47131965600,"Census Tract 9656, Obion County, Tennessee",24250,3592
47143975100,"Census Tract 9751, Rhea County, Tennessee",42373,11834
47143975300,"Census Tract 9753, Rhea County, Tennessee",38000,10577
47143975200,"Census Tract 9752, Rhea County, Tennessee",55750,11467
47143975000,"Census Tract 9750, Rhea County, Tennessee",38530,6437
47151975200,"Census Tract 9752, Scott County, Tennessee",39871,9668
47151975300,"Census Tract 9753, Scott County, Tennessee",34787,7996
47151975000,"Census Tract 9750, Scott County, Tennessee",36208,4487
47151975100,"Census Tract 9751, Scott County, Tennessee",35952,8013
47151975400,"Census Tract 9754, Scott County, Tennessee",54032,4761
47167040900,"Census Tract 409, Tipton County, Tennessee",47404,9372
47167040800,"Census Tract 408, Tipton County, Tennessee",82908,11054
47167040302,"Census Tract 403.02, Tipton County, Tennessee",91615,4601
47021070103,"Census Tract 701.03, Cheatham County, Tennessee",59148,3486
47021070104,"Census Tract 701.04, Cheatham County, Tennessee",48100,12131
47021070201,"Census Tract 702.01, Cheatham County, Tennessee",84715,6633
47021070202,"Census Tract 702.02, Cheatham County, Tennessee",56061,7979
47021070203,"Census Tract 702.03, Cheatham County, Tennessee",58750,7528
47021070401,"Census Tract 704.01, Cheatham County, Tennessee",68947,9582
47021070402,"Census Tract 704.02, Cheatham County, Tennessee",72357,6920
47029920100,"Census Tract 9201, Cocke County, Tennessee",42184,7051
47029920200,"Census Tract 9202, Cocke County, Tennessee",32295,7425
47029920300,"Census Tract 9203, Cocke County, Tennessee",48333,6696
47029920400,"Census Tract 9204, Cocke County, Tennessee",30000,13513
47029920501,"Census Tract 9205.01, Cocke County, Tennessee",24775,6112
47029920502,"Census Tract 9205.02, Cocke County, Tennessee",44916,13134
47029920600,"Census Tract 9206, Cocke County, Tennessee",31644,5694
47029920700,"Census Tract 9207, Cocke County, Tennessee",39444,8315
47035970301,"Census Tract 9703.01, Cumberland County, Tennessee",45116,6437
47031970801,"Census Tract 9708.01, Coffee County, Tennessee",44345,9234
47031970802,"Census Tract 9708.02, Coffee County, Tennessee",67914,5246
47031980100,"Census Tract 9801, Coffee County, Tennessee",NA,NA
47035970101,"Census Tract 9701.01, Cumberland County, Tennessee",60822,5083
47035970102,"Census Tract 9701.02, Cumberland County, Tennessee",47917,4227
47035970302,"Census Tract 9703.02, Cumberland County, Tennessee",42873,2088
47157000400,"Census Tract 4, Shelby County, Tennessee",26121,3166
47157002600,"Census Tract 26, Shelby County, Tennessee",89375,24917
47157021353,"Census Tract 213.53, Shelby County, Tennessee",175938,15552
47157021137,"Census Tract 211.37, Shelby County, Tennessee",62118,9518
47157005500,"Census Tract 55, Shelby County, Tennessee",19947,3966
47157007500,"Census Tract 75, Shelby County, Tennessee",29116,6677
47157010620,"Census Tract 106.20, Shelby County, Tennessee",30941,6493
47025970300,"Census Tract 9703, Claiborne County, Tennessee",30541,4250
47025970400,"Census Tract 9704, Claiborne County, Tennessee",34125,14350
47025970500,"Census Tract 9705, Claiborne County, Tennessee",37992,7270
47025970100,"Census Tract 9701, Claiborne County, Tennessee",31227,6427
47025970200,"Census Tract 9702, Claiborne County, Tennessee",46406,6800
47025970700,"Census Tract 9707, Claiborne County, Tennessee",36725,9741
